embedding_dimension,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
W2V_133,-0.014909845969276957,0.036996629813677,-0.022741861637840314,-0.0559606372215217,0.15039096421770354,-0.04737522466277771,0.08468606004204296,0.032952994569613606
W2V_134,0.03746614011506987,0.08871299620018692,0.004902120653603592,0.06741990205307144,0.03606419174431234,0.012334305875463695,0.08465162633103107,-0.045752617877501456
W2V_135,0.02809225244656205,-0.06787718670128119,-0.0022986124755924827,0.09526529144563015,0.0014549983902276027,0.02314499126552366,-0.06623864544275489,-0.027119540090321987
W2V_136,0.16372660241759923,0.038866954149810624,-0.001538071242797108,-0.0071322889947246755,0.022298051182775187,0.06263930513000351,0.07031316108475594,0.014606686467126416
W2V_137,-0.006005801405265558,-0.008779947900982084,-0.0502144762091688,0.0536097395224084,-0.05512812619040254,-0.07145214621939013,-0.04446554126955013,0.03569405670657583
W2V_138,-0.07795289019348195,0.07900848887312355,0.07725601287748998,0.023514602689563888,-0.0648450422854788,0.08169669074341684,0.028509943830892316,0.042003526994780695
W2V_139,0.09283145083867875,-0.07423945072348276,0.06514126643926485,0.0761060312845471,-0.011772220722773912,0.053332414779789394,0.0935627170254714,-0.08699092730680119
W2V_140,0.07582553138848637,-0.054917541402361054,-0.0026671196454766846,-0.06302692523726221,-0.032060487265220275,0.01465748182141658,-0.1112962565712523,0.07632029037467378
W2V_141,0.04803537341708413,0.007614134755690683,0.01833937322180878,0.13271663519306803,-0.0787946342508774,0.042342678355345886,-0.003436302896467072,-0.05438340544902748
W2V_142,-0.02547411960241585,0.01703438745110362,0.030220328519156753,-0.04279349081432999,0.036007161256983576,0.07165319439785485,-0.05344082026956087,-0.11607732898318365
W2V_143,0.0009970284566325359,-0.01631763796708276,0.004805273884007178,-0.08668222077818612,0.01420635714410133,-0.08415216922480027,0.009438064160307926,0.10688568770665857
W2V_144,-0.012570951350470223,-0.08097724222095139,-0.02420409630467501,0.0982791751909736,0.10360193758982374,-0.13547241031245233,-0.08830084923853093,-0.02491188939123788
W2V_145,0.05113677436885572,0.028090820819306212,-0.014232678062506764,0.0007910962612847857,0.06265216102205329,-0.04220298598407845,0.05520291776756082,0.01936911019879645
W2V_146,0.0613655053909519,0.12980166655898212,-0.02802867505729065,-0.07368820641808535,0.055597911798263164,0.15380050851039906,-0.04960311984624436,-0.06300299300270916
W2V_147,0.04820502110435605,-0.09339501379957879,0.016148491915843374,0.024664748865275678,0.07149120568302794,0.04014337285420153,0.013484668149332472,0.08554920285311964
W2V_148,0.07224016953867411,-0.08996388159204005,0.08148529265494653,0.07341322519956585,0.03133549514910372,-0.05173465509620049,-0.020204230526890916,0.031512267457916084
W2V_149,-0.08890944273715792,0.059198816498336373,0.01922685502792329,0.042706684743030236,-0.0738842732152081,0.08594411212732203,-0.024303823089591167,0.03236781419006161
W2V_150,-0.015655823757185185,-0.07546236439251937,-0.02829537688813391,0.0491156096785982,-0.002237502605883053,0.04218502838883669,-0.02872965333491721,0.009280439420093425
W2V_151,0.028188953243602776,-0.020429572761739654,0.07734945611334977,-0.042971042259989704,-0.08462015396466256,-0.05230882417139132,-0.010050154723424366,-0.08196708153770414
W2V_152,-0.09125612573204503,0.031049512209990266,0.13247769719168354,-0.04246339877134257,0.0257243052361472,0.1519700243081881,0.0024649100900701153,0.09004902253950067
W2V_153,-0.016413806599945287,0.007248533705801037,0.002183371436802789,0.002294719414634318,0.016704206518081702,0.011548740298854816,-0.0570002104332506,-0.011864943792107426
W2V_154,0.08381915970765773,0.016017514561457256,-0.017616423448432835,0.03358682718046432,-0.012440149721740703,-0.02521621030589031,-0.04797765291192679,0.06540322749074326
